order_id,customer_id,order_date,payment_method,order_status,order_month,order_dayofweek
63,150,2026-06-08,bank_transfer,completed,2026-06,Monday
64,73,2025-07-07,bank_transfer,cancelled,2025-07,Monday
65,106,2025-12-18,kakao_pay,completed,2025-12,Thursday
66,95,2025-11-17,kakao_pay,cancelled,2025-11,Monday
67,148,2026-03-20,kakao_pay,cancelled,2026-03,Friday
68,138,2026-04-01,bank_transfer,completed,2026-04,Wednesday
69,120,2026-08-02,kakao_pay,cancelled,2026-08,Sunday
70,34,2025-12-31,bank_transfer,completed,2025-12,Wednesday
71,112,2026-08-05,kakao_pay,completed,2026-08,Wednesday
72,125,,kakao_pay,completed,,
73,30,2025-12-20,naver_pay,cancelled,2025-12,Saturday
74,110,2026-04-12,card,refunded,2026-04,Sunday
75,3,2026-04-08,naver_pay,refunded,2026-04,Wednesday
76,46,2026-02-25,kakao_pay,completed,2026-02,Wednesday
77,41,2026-08-29,card,cancelled,2026-08,Saturday
78,127,2026-07-22,naver_pay,refunded,2026-07,Wednesday
79,99,2026-05-22,kakao_pay,completed,2026-05,Friday
80,9,2026-01-15,bank_transfer,cancelled,2026-01,Thursday
81,78,2025-11-17,naver_pay,cancelled,2025-11,Monday
82,51,2026-01-22,bank_transfer,completed,2026-01,Thursday
83,95,2025-07-29,card,cancelled,2025-07,Tuesday
84,69,2025-07-04,kakao_pay,cancelled,2025-07,Friday
85,120,2026-01-13,kakao_pay,completed,2026-01,Tuesday
86,14,2025-10-04,bank_transfer,completed,2025-10,Saturday
87,17,2026-05-13,naver_pay,completed,2026-05,Wednesday
88,9,2025-11-13,kakao_pay,completed,2025-11,Thursday
89,15,2025-11-12,kakao_pay,completed,2025-11,Wednesday
90,5,2026-07-27,card,completed,2026-07,Monday
91,115,2025-12-05,kakao_pay,refunded,2025-12,Friday
92,93,2026-02-03,kakao_pay,completed,2026-02,Tuesday
93,79,2025-12-12,card,refunded,2025-12,Friday
94,3,2025-10-10,kakao_pay,completed,2025-10,Friday
95,100,2026-03-08,kakao_pay,completed,2026-03,Sunday
96,85,2026-06-21,card,completed,2026-06,Sunday
97,25,2025-10-20,kakao_pay,refunded,2025-10,Monday
98,29,2025-10-10,naver_pay,completed,2025-10,Friday
99,126,2026-03-26,kakao_pay,cancelled,2026-03,Thursday
100,85,2026-04-30,bank_transfer,completed,2026-04,Thursday
101,55,2026-02-18,bank_transfer,cancelled,2026-02,Wednesday
102,9,2026-05-04,kakao_pay,completed,2026-05,Monday
103,32,2026-07-14,bank_transfer,completed,2026-07,Tuesday
104,15,2026-01-14,bank_transfer,cancelled,2026-01,Wednesday
105,92,2026-06-07,naver_pay,completed,2026-06,Sunday
106,119,2026-08-20,kakao_pay,cancelled,2026-08,Thursday
107,33,2025-07-24,card,completed,2025-07,Thursday
108,14,2026-08-06,kakao_pay,completed,2026-08,Thursday
109,92,2026-01-13,kakao_pay,refunded,2026-01,Tuesday
110,17,2025-08-21,kakao_pay,refunded,2025-08,Thursday
111,36,2026-01-29,naver_pay,completed,2026-01,Thursday
112,137,2025-11-27,naver_pay,refunded,2025-11,Thursday
113,117,2026-04-21,bank_transfer,cancelled,2026-04,Tuesday
114,140,2026-02-05,bank_transfer,refunded,2026-02,Thursday
115,120,2025-08-10,card,completed,2025-08,Sunday
116,97,2025-12-05,kakao_pay,completed,2025-12,Friday
117,145,2025-11-15,naver_pay,cancelled,2025-11,Saturday
118,67,2025-10-29,kakao_pay,completed,2025-10,Wednesday
119,22,2025-08-27,card,refunded,2025-08,Wednesday
120,26,2025-08-21,naver_pay,refunded,2025-08,Thursday
121,95,2026-08-03,naver_pay,completed,2026-08,Monday
122,86,2026-02-11,card,refunded,2026-02,Wednesday
123,138,2025-09-13,kakao_pay,refunded,2025-09,Saturday
124,132,2025-12-01,card,completed,2025-12,Monday
125,94,2026-03-11,card,cancelled,2026-03,Wednesday
126,9991,2026-01-13,naver_pay,completed,2026-01,Tuesday
127,26,2026-05-12,naver_pay,completed,2026-05,Tuesday
128,85,2026-06-17,bank_transfer,completed,2026-06,Wednesday
129,90,2026-07-01,card,completed,2026-07,Wednesday
130,79,2025-08-17,bank_transfer,completed,2025-08,Sunday
131,18,2026-02-12,kakao_pay,cancelled,2026-02,Thursday
132,3,2026-04-14,kakao_pay,cancelled,2026-04,Tuesday
133,25,2025-11-21,naver_pay,completed,2025-11,Friday
134,55,2025-11-16,bank_transfer,completed,2025-11,Sunday
135,126,2026-03-30,card,cancelled,2026-03,Monday
136,33,2026-08-19,bank_transfer,completed,2026-08,Wednesday
137,52,2025-12-09,kakao_pay,cancelled,2025-12,Tuesday
138,58,2026-01-21,kakao_pay,completed,2026-01,Wednesday
139,59,2025-08-08,bank_transfer,cancelled,2025-08,Friday
140,75,2025-08-31,kakao_pay,cancelled,2025-08,Sunday
141,74,2026-05-16,bank_transfer,completed,2026-05,Saturday
142,20,2026-02-03,bank_transfer,refunded,2026-02,Tuesday
143,19,,naver_pay,refunded,,
144,90,2026-08-18,card,cancelled,2026-08,Tuesday
145,19,2026-02-03,card,completed,2026-02,Tuesday
146,51,2025-09-17,card,refunded,2025-09,Wednesday
147,8,2026-03-06,bank_transfer,refunded,2026-03,Friday
148,73,2026-01-20,kakao_pay,refunded,2026-01,Tuesday
149,55,2026-07-17,card,refunded,2026-07,Friday
150,45,2026-02-26,naver_pay,completed,2026-02,Thursday
151,74,2026-07-07,kakao_pay,completed,2026-07,Tuesday
152,21,2025-07-07,kakao_pay,completed,2025-07,Monday
153,135,2026-03-09,card,refunded,2026-03,Monday
154,52,2025-08-21,bank_transfer,completed,2025-08,Thursday
155,49,2026-05-10,naver_pay,refunded,2026-05,Sunday
156,41,2026-03-31,bank_transfer,completed,2026-03,Tuesday
157,1,2026-04-20,kakao_pay,cancelled,2026-04,Monday
158,130,2025-08-19,kakao_pay,completed,2025-08,Tuesday
159,31,2025-12-04,bank_transfer,completed,2025-12,Thursday
160,21,2025-10-04,bank_transfer,completed,2025-10,Saturday
161,9,2025-08-02,card,completed,2025-08,Saturday
162,55,2026-06-09,kakao_pay,cancelled,2026-06,Tuesday
163,108,2026-06-24,kakao_pay,completed,2026-06,Wednesday
164,64,2025-12-31,bank_transfer,completed,2025-12,Wednesday
165,36,2025-12-10,kakao_pay,refunded,2025-12,Wednesday
166,115,2026-01-28,naver_pay,cancelled,2026-01,Wednesday
167,77,2025-07-02,kakao_pay,completed,2025-07,Wednesday
168,146,2026-02-15,naver_pay,completed,2026-02,Sunday
169,136,2025-10-01,card,completed,2025-10,Wednesday
170,15,2025-12-07,naver_pay,refunded,2025-12,Sunday
171,60,2026-01-15,bank_transfer,refunded,2026-01,Thursday
172,58,2025-09-25,bank_transfer,completed,2025-09,Thursday
173,105,2026-04-19,kakao_pay,cancelled,2026-04,Sunday
174,48,2026-04-03,card,completed,2026-04,Friday
175,136,2025-08-26,naver_pay,completed,2025-08,Tuesday
176,95,2025-07-12,bank_transfer,refunded,2025-07,Saturday
177,112,2026-02-02,naver_pay,completed,2026-02,Monday
178,65,2026-04-08,kakao_pay,completed,2026-04,Wednesday
179,11,2025-08-04,bank_transfer,completed,2025-08,Monday
180,116,2026-08-25,naver_pay,completed,2026-08,Tuesday
181,57,2025-12-03,card,completed,2025-12,Wednesday
182,111,2026-04-28,kakao_pay,completed,2026-04,Tuesday
183,98,2025-08-26,card,completed,2025-08,Tuesday
184,53,2026-03-12,kakao_pay,completed,2026-03,Thursday
185,65,2026-04-17,naver_pay,completed,2026-04,Friday
186,150,2025-12-27,kakao_pay,completed,2025-12,Saturday
187,31,2026-05-14,naver_pay,cancelled,2026-05,Thursday
188,52,2025-10-09,kakao_pay,completed,2025-10,Thursday
189,36,2026-01-25,kakao_pay,refunded,2026-01,Sunday
190,95,2025-10-07,card,refunded,2025-10,Tuesday
191,21,2025-10-13,bank_transfer,completed,2025-10,Monday
192,143,2026-06-10,naver_pay,refunded,2026-06,Wednesday
193,131,2026-04-23,bank_transfer,completed,2026-04,Thursday
194,84,2026-01-30,card,cancelled,2026-01,Friday
195,9,2026-04-03,naver_pay,refunded,2026-04,Friday
196,7,2026-08-10,naver_pay,completed,2026-08,Monday
197,5,2026-05-30,card,cancelled,2026-05,Saturday
198,65,2025-07-24,naver_pay,completed,2025-07,Thursday
199,61,2025-09-28,bank_transfer,completed,2025-09,Sunday
200,77,2025-10-11,naver_pay,cancelled,2025-10,Saturday
201,127,2025-09-08,naver_pay,refunded,2025-09,Monday
202,108,2026-03-11,bank_transfer,completed,2026-03,Wednesday
203,60,2025-10-17,naver_pay,cancelled,2025-10,Friday
204,115,2026-08-11,card,completed,2026-08,Tuesday
205,10,2025-09-10,kakao_pay,cancelled,2025-09,Wednesday
206,25,2026-06-29,bank_transfer,completed,2026-06,Monday
207,15,2026-08-30,kakao_pay,refunded,2026-08,Sunday
208,111,2026-04-06,naver_pay,completed,2026-04,Monday
209,61,2026-05-06,kakao_pay,cancelled,2026-05,Wednesday
210,65,2026-02-15,card,completed,2026-02,Sunday
211,38,2026-06-22,kakao_pay,completed,2026-06,Monday
212,27,2025-12-11,bank_transfer,completed,2025-12,Thursday
213,65,2025-08-28,kakao_pay,completed,2025-08,Thursday
214,62,,naver_pay,completed,,
215,60,2026-06-12,card,completed,2026-06,Friday
216,137,2026-02-11,bank_transfer,completed,2026-02,Wednesday
217,98,2025-11-29,kakao_pay,cancelled,2025-11,Saturday
218,83,2026-01-13,card,refunded,2026-01,Tuesday
219,133,2025-12-03,card,cancelled,2025-12,Wednesday
220,150,2026-06-19,bank_transfer,refunded,2026-06,Friday
221,117,2026-06-10,card,cancelled,2026-06,Wednesday
222,93,2025-08-27,card,completed,2025-08,Wednesday
223,150,2026-04-30,bank_transfer,refunded,2026-04,Thursday
224,108,2025-12-25,naver_pay,cancelled,2025-12,Thursday
225,104,2026-08-28,bank_transfer,completed,2026-08,Friday
226,108,2026-04-26,kakao_pay,refunded,2026-04,Sunday
227,124,2026-01-09,card,refunded,2026-01,Friday
228,22,2026-06-22,bank_transfer,completed,2026-06,Monday
229,58,2025-08-27,kakao_pay,cancelled,2025-08,Wednesday
230,92,2026-03-12,bank_transfer,completed,2026-03,Thursday
231,134,2026-06-24,kakao_pay,cancelled,2026-06,Wednesday
232,20,2026-08-11,kakao_pay,completed,2026-08,Tuesday
233,144,2026-07-27,naver_pay,completed,2026-07,Monday
234,38,2026-01-10,bank_transfer,completed,2026-01,Saturday
235,7,2026-08-26,kakao_pay,completed,2026-08,Wednesday
236,15,2026-05-04,card,cancelled,2026-05,Monday
237,2,2025-09-23,bank_transfer,cancelled,2025-09,Tuesday
238,138,2025-07-15,card,completed,2025-07,Tuesday
239,119,2026-02-08,bank_transfer,completed,2026-02,Sunday
240,67,2026-01-24,naver_pay,cancelled,2026-01,Saturday
241,133,2025-10-22,kakao_pay,refunded,2025-10,Wednesday
242,52,2026-05-16,kakao_pay,cancelled,2026-05,Saturday
243,3,2025-09-29,kakao_pay,cancelled,2025-09,Monday
244,85,2026-06-09,kakao_pay,completed,2026-06,Tuesday
245,114,2025-11-02,card,completed,2025-11,Sunday
246,105,2025-11-06,card,completed,2025-11,Thursday
247,134,2025-11-23,naver_pay,completed,2025-11,Sunday
248,22,2025-07-25,naver_pay,completed,2025-07,Friday
249,88,2025-11-10,naver_pay,completed,2025-11,Monday
250,16,2026-03-13,kakao_pay,cancelled,2026-03,Friday
251,72,2026-06-26,card,refunded,2026-06,Friday
252,53,2025-10-14,card,completed,2025-10,Tuesday
253,65,2025-11-24,card,completed,2025-11,Monday
254,136,2025-12-23,kakao_pay,completed,2025-12,Tuesday
255,90,2026-04-16,card,completed,2026-04,Thursday
256,55,2027-01-15,bank_transfer,completed,2027-01,Friday
257,51,2026-06-06,bank_transfer,completed,2026-06,Saturday
258,56,2025-11-14,naver_pay,completed,2025-11,Friday
259,142,2026-06-05,bank_transfer,completed,2026-06,Friday
260,60,2025-11-30,kakao_pay,completed,2025-11,Sunday
261,90,2026-01-07,card,refunded,2026-01,Wednesday
262,110,2026-08-11,kakao_pay,completed,2026-08,Tuesday
263,43,2026-06-18,bank_transfer,completed,2026-06,Thursday
264,23,2025-08-26,bank_transfer,completed,2025-08,Tuesday
265,130,2025-08-04,bank_transfer,completed,2025-08,Monday
266,90,2026-01-15,naver_pay,completed,2026-01,Thursday
267,69,2026-05-01,naver_pay,completed,2026-05,Friday
268,5,2026-05-12,card,completed,2026-05,Tuesday
269,52,2025-09-20,card,refunded,2025-09,Saturday
270,122,2025-12-02,kakao_pay,refunded,2025-12,Tuesday
271,61,2026-01-28,kakao_pay,completed,2026-01,Wednesday
272,139,2025-12-25,card,completed,2025-12,Thursday
273,28,2025-08-25,card,completed,2025-08,Monday
274,51,2025-11-07,card,cancelled,2025-11,Friday
275,3,2026-01-24,bank_transfer,refunded,2026-01,Saturday
276,22,2025-10-29,naver_pay,completed,2025-10,Wednesday
277,14,2025-07-12,bank_transfer,completed,2025-07,Saturday
278,9992,2026-07-10,kakao_pay,cancelled,2026-07,Friday
279,54,2026-01-05,naver_pay,refunded,2026-01,Monday
280,48,2026-05-07,naver_pay,cancelled,2026-05,Thursday
281,132,2025-11-15,card,completed,2025-11,Saturday
282,20,2025-08-13,naver_pay,completed,2025-08,Wednesday
283,112,2026-02-26,card,refunded,2026-02,Thursday
284,107,2025-07-05,naver_pay,cancelled,2025-07,Saturday
285,38,2026-07-18,card,completed,2026-07,Saturday
286,69,2025-09-03,naver_pay,completed,2025-09,Wednesday
287,83,2028-12-31,card,cancelled,2028-12,Sunday
288,95,2025-07-13,naver_pay,completed,2025-07,Sunday
289,75,2026-01-16,naver_pay,cancelled,2026-01,Friday
290,3,2026-04-24,card,completed,2026-04,Friday
291,37,2026-05-20,card,refunded,2026-05,Wednesday
292,14,2026-06-11,kakao_pay,completed,2026-06,Thursday
293,20,2026-03-12,bank_transfer,refunded,2026-03,Thursday
294,44,2025-07-06,card,completed,2025-07,Sunday
295,18,2025-08-11,card,refunded,2025-08,Monday
296,92,2026-04-13,card,completed,2026-04,Monday
297,36,2026-07-24,naver_pay,completed,2026-07,Friday
298,31,2026-03-27,naver_pay,completed,2026-03,Friday
299,133,2026-01-08,naver_pay,cancelled,2026-01,Thursday
300,2,2026-04-29,card,completed,2026-04,Wednesday
