순위,판매상품ID,상품명,판매가,저자,출판사,발행일,분야
58,S000216815984,료의 생각 없는 생각,18000,료,열림원,2025-06-16,시/에세이
59,S000216465298,우리의 낙원에서 만나자,17550,하태완,북로망스,2025-05-21,시/에세이
60,S000001913217,돈의 속성(400쇄 리커버에디션),16020,김승호,스노우폭스북스,2020-06-15,경제/경영
61,S000001290624,코스모스,19800,칼 세이건,사이언스북스,2010-01-20,과학
62,S000216841258,편안함의 습격,19800,마이클 이스터,수오서재,2025-06-24,인문
63,S000215667475,황현필의 진보를 위한 역사,19800,황현필,역바연,2025-02-07,역사/문화
64,S000000848997,자본주의,19800,EBS 자본주의 제작팀,가나출판사,2013-09-27,경제/경영
65,S000215767502,어른의 품격을 채우는 100일 필사 노트,18000,김종원,청림라이프,2025-03-05,자기계발
66,S000217421954,시대예보: 경량문명의 탄생,19800,송길영,교보문고,2025-09-11,경제/경영
67,S000216104920,단 3개의 미국 ETF로 은퇴하라,17820,김지훈(포메뽀꼬),리더스북,2025-03-24,경제/경영
68,S000213799586,영어로 문장 만들기 훈련 1차 임계점,19800,유은하,사람in,2024-07-15,외국어
69,S000000780847,긴긴밤,11250,루리,문학동네,2021-02-03,어린이(초등)
70,S000215067855,왜 그들만 부자가 되는가,19800,필립 바구스 외,북모먼트,2025-01-08,경제/경영
71,S000215747044,환율의 대전환,24300,오건영,포레스트북스,2025-02-28,경제/경영
72,S000216819592,궤도,15300,서맨사 하비,서해문집,2025-06-20,소설
73,S000200524493,ETS 토익기출 파트별 VOCA,11700,ETS,YBM,2022-12-23,외국어
74,S000000619590,노르웨이의 숲,15300,무라카미 하루키,민음사,2017-08-07,소설
75,S000214894294,김재우의 기초 영어회화 100,17010,김재우,상상스퀘어,2024-12-04,외국어
76,S000214078939,팩트풀니스(50만 부 뉴에디션),21420,한스 로슬링 외,김영사,2024-09-01,인문
77,S000000620240,인간 실격,8100,다자이 오사무,민음사,2012-04-10,소설
78,S000000549237,사랑의 기술,15300,에리히 프롬,문예출판사,2019-09-01,인문
79,S000001752581,꽃을 보듯 너를 본다(100만 부 기념 에디션)(리커버:K),11700,나태주,지혜,2020-11-30,시/에세이
80,S000000576524,이기적 유전자,18000,리처드 도킨스,을유문화사,2023-01-30,과학
81,S000212753904,하루 한 장 나의 어휘력을 위한 필사 노트,21420,유선경,위즈덤하우스,2024-03-28,인문
82,S000216716900,단 한 줄만 내 마음에 새긴다고 해도,21420,나민애,포레스트북스,2025-06-11,인문
83,S000214357841,나는 미국 월배당 ETF로 40대에 은퇴한다,16920,최영민,지음미디어,2024-09-27,경제/경영
84,S000001020313,한 권으로 끝내는 해커스 토익 700+(LC+RC+VOCA),17820,해커스 어학연구소,해커스어학연구소,2025-01-20,외국어
85,S000217427392,머니 트렌드 2026,23400,김도윤 외,북모먼트,2025-09-25,경제/경영
86,S000000620316,브람스를 좋아하세요,9000,프랑수아즈 사강,민음사,2008-05-02,소설
87,S000214758045,일의 감각,19800,조수용,REFERENCE BY B,2024-11-10,자기계발
88,S000215623822,STOP THE STEAL 대법원의 부정선거 은폐기록,13500,도태우 외,도서출판 스카이,2025-01-20,정치/사회
89,S000200406668,해커스 토익 RC Reading(리딩) 기본서,16920,David Cho,해커스어학연구소,2024-08-19,외국어
90,S000000619973,이방인,9000,알베르 카뮈,민음사,2019-09-02,소설
91,S000216362417,이로운 보수 의로운 진보,18000,최강욱 외,한겨레출판,2025-05-15,정치/사회
92,S000213029112,히든 픽처스,12600,제이슨 르쿨락,문학수첩,2024-05-03,소설
93,S000214936808,어린이 OX 퀴즈,11700,한날,파란정원,2024-12-10,어린이(초등)
94,S000216172302,긴키 지방의 어느 장소에 대하여,15120,세스지 외,반타,2025-04-10,소설
95,S000208591551,여름을 한 입 베어 물었더니,12150,이꽃님,문학동네,2023-08-18,청소년
96,S000000597165,사피엔스,24120,유발 하라리,김영사,2023-04-01,인문
97,S000214761920,무의식은 어떻게 나를 설계하는가,22500,데이비드 이글먼,알에이치코리아,2024-11-22,과학
98,S000215570841,손자병법,20520,임용한,교보문고,2025-01-28,역사/문화
99,S000216806926,장미와 나이프,16200,히가시노 게이고,반타,2025-06-16,소설
100,S000000479333,프로젝트 헤일메리,19800,앤디 위어,알에이치코리아,2026-02-19,소설
101,S000214344315,말투만 바꿨을 뿐인데,16020,김민성,PROFILER BOOKS,2024-09-26,자기계발
102,S000213569137,대한민국헌법 양장 포켓북(초호화 한정판 금장 에디션),13500,대한민국,더휴먼,2024-05-30,정치/사회
103,S000216001919,초역 부처의 말 필사집,19800,코이케 류노스케,포레스트북스,2025-03-19,인문
104,S000001020123,해커스 보카(Hackers Vocabulary),15210,David Cho,해커스어학연구소,2025-04-07,외국어
105,S000214208202,트렌드 코리아 2025,18000,김난도 외,미래의창,2024-10-07,경제/경영
106,S000213834312,토마토 컵라면(스페셜 에디션),8100,차정은,부크크(Bookk),2024-04-08,시/에세이
107,S000001893506,2026 제이크쌤의 28시간에 끝내는 토익스피킹 All in One,16110,황인기 외,시원스쿨닷컴,2026-06-09,외국어
108,S000201932024,총 균 쇠,26820,재레드 다이아몬드,김영사,2023-05-11,역사/문화
109,S000212686783,착! 붙는 일본어 독학 첫걸음,15120,일본어 공부기술연구소,시사일본어사,2024-03-25,외국어
110,S000200329012,기분이 태도가 되지 말자(30만부 기념 최신 개정판),15300,김수현(훈글),하이스트,2022-11-25,시/에세이
111,S000000778206,희랍어 시간,11700,한강,문학동네,2011-11-10,소설
112,S000001772245,부자 아빠 가난한 아빠(20주년 특별 기념판),15300,로버트 기요사키,민음인,2022-10-28,경제/경영
113,S000215028064,내가 나라서 정말 좋아,15120,김지훤,길벗,2025-01-15,어린이(초등)
114,S000211654427,내가 한 말을 내가 오해하지 않기로 함,17820,문상훈,위너스북,2024-01-05,시/에세이
115,S000202529809,작은 땅의 야수들,16200,김주혜,다산책방,2023-06-19,소설
116,S000212321676,불변의 법칙,22500,모건 하우절,서삼독,2024-02-28,경제/경영
117,S000001939001,죽이고 싶은 아이,11250,이꽃님,우리학교,2021-06-07,청소년
118,S000212773396,니체 인생수업: 니체가 세상에 남긴 66가지 인생지혜(리커버 에디션),15750,프리드리히 니체,하이스트,2024-03-22,인문
119,S000215527612,원피스 110: 시대의 일렁임,5400,EIICHIRO ODA,대원씨아이,2025-01-23,만화
120,S000214054358,고전이 답했다: 마땅히 살아야 할 삶에 대하여,15120,고명환,라곰,2024-08-26,자기계발
121,S000215787651,이어령의 말,19800,이어령,세계사,2025-02-26,인문
122,S000202678286,최소한의 한국사,17820,최태성,프런트페이지,2023-06-21,역사/문화
123,S000216966974,흔한남매 이무기 3,15120,이종혁,미래엔아이세움,2025-07-09,어린이(초등)
124,S000216000249,흔한남매의 흔한 호기심 13,15120,안치현,미래엔아이세움,2025-03-13,어린이(초등)
125,S000216445700,워런 버핏 웨이,29700,로버트 해그스트롬,상상스퀘어,2025-05-21,경제/경영
126,S000216865985,세계 경제 지각 변동,19800,박종훈,글로퍼스,2025-06-27,경제/경영
127,S000214710919,트럼프 2.0 시대,18000,박종훈,글로퍼스,2024-11-08,경제/경영
128,S000216307529,읽으면서 바로 써먹는 어린이 초등 교과 어휘,11700,한날,파란정원,2025-04-15,어린이(초등)
129,S000215820951,그릿,16920,김주환,인플루엔셜,2025-02-26,가정/육아
130,S000001068777,달리기를 말할 때 내가 하고 싶은 이야기,13050,무라카미 하루키,문학사상,2016-12-15,시/에세이
131,S000214032055,이중 하나는 거짓말,14400,김애란,문학동네,2024-08-27,소설
132,S000200205332,왜 나는 너를 사랑하는가(70만 부 기념 리커버),12600,알랭 드 보통,청미래,2022-11-10,소설
133,S000001925800,물고기는 존재하지 않는다,15300,룰루 밀러,곰출판,2021-12-17,과학
134,S000213184567,두 사람의 인터내셔널,15120,김기태,문학동네,2024-05-15,소설
135,S000214874739,지적 대화를 위한 넓고 얕은 지식 무한,17100,채사장,웨일북(whalebooks),2024-12-24,인문
136,S000000620214,1984,9900,조지 오웰,민음사,2007-03-30,소설
137,S000200406673,해커스 토익 LC Listening(리스닝) 기본서,16920,David Cho,해커스어학연구소,2024-08-19,외국어
138,S000213921185,더 좋은 문장을 쓰고 싶은 당신을 위한 필사책,19800,이주윤,빅피시,2024-08-07,인문
139,S000216240901,대통령 윤석열 탄핵 사건 선고 결정문,3510,헌법재판소,더휴먼,2025-04-04,정치/사회
140,S000001615079,소년과 두더지와 여우와 말,19800,찰리 맥커시,상상의힘,2020-04-20,시/에세이
141,S000215993106,침묵의 퍼레이드,19620,히가시노 게이고,재인,2025-03-07,소설
142,S000214308609,대온실 수리 보고서,16200,김금희,창비,2024-10-04,소설
143,S000214298857,박태웅의 AI 강의 2025,16920,박태웅,한빛비즈,2024-09-30,경제/경영
144,S000217187282,ETF 투자의 모든 것,18900,문일호,매일경제신문사,2025-08-11,경제/경영
145,S000216646920,왓츠 유어 드림,19800,사이먼 스큅,북파머스,2025-06-04,자기계발
146,S000216399884,부의 전략 수업,17820,폴 포돌스키,필름(Feelm),2025-05-07,경제/경영
147,S000215011787,악마와 함께 춤을,17100,크리스타 K. 토마슨,흐름출판,2024-12-16,인문
148,S000000696161,제로 투 원(10주년 기념판),16200,피터 틸 외,한국경제신문,2025-04-18,경제/경영
149,S000215009517,에그박사 14,15120,에그박사,미래엔아이세움,2024-12-20,어린이(초등)
150,S000001813652,아주 작은 습관의 힘(50만 부 기념 스페셜 에디션),16200,제임스 클리어,비즈니스북스,2019-02-26,자기계발
151,S000214645193,사랑과 멸종을 바꿔 읽어보십시오,10800,유선혜,문학과지성사,2024-10-28,시/에세이
152,S000001786573,사탄탱고(블랙 에디션),17820,크러스너호르커이 라슬로,알마,2018-05-09,소설
153,S000215823209,트럼프 시대의 지정학과 비트코인,23400,오태민,거인의정원,2025-03-04,경제/경영
154,S000000450452,토익 단기공략 750+(LC+RC),16200,ETS,YBM,2020-08-20,외국어
155,S000000616949,죽음의 수용소에서,8820,빅터 프랭클,청아출판사,2020-05-30,시/에세이
156,S000000619722,참을 수 없는 존재의 가벼움,15300,밀란 쿤데라,민음사,2018-06-20,소설
157,S000061532777,미키 7,15300,에드워드 애슈턴,황금가지,2022-07-22,소설
158,S000217141901,읽으면서 바로 써먹는 어린이 공포의 수학 퍼즐 1,11700,한날,파란정원,2025-07-29,어린이(초등)
159,S000216740028,마침내 특이점이 시작된다,27000,레이 커즈와일,비즈니스북스,2025-06-13,과학
160,S000217577549,나는 메트로폴리탄 미술관의 경비원입니다,16650,패트릭 브링리,웅진지식하우스,2025-09-25,시/에세이
161,S000216795867,윤슬의 바다,13500,백은별,바른북스,2025-05-31,청소년
162,S000061838634,엄마의 말 연습,15750,윤지영,카시오페아,2022-09-22,가정/육아
163,S000001949990,데일 카네기 자기관리론(국내최초 초판 무삭제 완역본),10350,데일 카네기,현대지성,2021-01-13,자기계발
164,S000000858148,월가의 영웅,23400,피터 린치 외,국일증권경제연구소,2021-07-30,경제/경영
165,S000214934505,소득혁명,18000,브라이언 페이지,서삼독,2024-12-20,자기계발
166,S000000828491,종의 기원,15120,정유정,은행나무,2016-05-16,소설
167,S000000828225,불안(리커버:K),16200,알랭 드 보통,은행나무,2012-01-04,시/에세이
168,S000001938774,지적 대화를 위한 넓고 얕은 지식 1,17100,채사장,웨일북(whalebooks),2020-02-05,인문
169,S000214651601,헌법 필사,4950,대한민국,더휴먼,2024-10-30,정치/사회
170,S000213675097,나는 왜 남들보다 쉽게 지칠까,16020,최재훈,서스테인,2026-01-08,인문
171,S000216731946,미술관에 간 할미,18900,할미,더퀘스트,2025-06-11,예술/대중문화
172,S000061350447,ETS 토익 단기공략 850+(LC+RC),17550,ETS,YBM,2022-06-30,외국어
173,S000061353833,세상의 마지막 기차역(리커버 에디션),15120,무라세 다케시,모모,2022-05-09,소설
174,S000201097027,세상은 실제로 어떻게 돌아가는가,19800,바츨라프 스밀,김영사,2023-03-09,인문
175,S000202406853,10일 만에 끝내는 해커스 OPIc 오픽 Advanced 공략,22500,해커스 오픽연구소,해커스,2023-10-23,외국어
176,S000217543640,비트코인 없는 미래는 없다,27900,오태민 외,거인의정원,2025-09-19,경제/경영
177,S000001957187,책문,19800,김태완,현자의마을,2015-06-15,역사/문화
178,S000001935255,천 개의 파랑,15300,천선란,허블,2020-08-19,소설
179,S000061550137,일본어 무작정 따라하기(완전판),23400,후지이 아사리,길벗이지톡,2022-08-05,외국어
180,S000001952241,진짜 쓰는 실무 엑셀,18900,오빠두(전진권),제이펍,2022-02-15,컴퓨터/IT
181,S000217345795,양면의 조개껍데기(리커버 특별판),15750,김초엽,래빗홀,2025-08-27,소설
182,S000215152112,살아갈 날들을 위한 괴테의 시,17100,김종원,퍼스트펭귄,2025-01-17,자기계발
183,S000212576919,뿐이 토핑 이유식,26820,정주희,서사원,2024-02-26,요리
184,S000215556227,심장보다 단단한 토마토 한 알,10800,고선경,열림원,2025-01-10,시/에세이
185,S000001029280,숨결이 바람 될 때,15120,폴 칼라니티,흐름출판,2024-11-22,시/에세이
186,S000214934818,아이의 뇌,16020,김붕년,포레스트북스,2024-12-11,가정/육아
187,S000217277792,키메라의 땅 1,16020,베르나르 베르베르,열린책들,2025-08-20,소설
188,S000214527129,빨간내복야코 안 읽으면 완전 위험한 과학책 1: 일상이 위기,13500,빨간내복야코,위즈덤하우스,2024-10-16,어린이(초등)
189,S000216730154,너를 아끼며 살아라,16650,나태주,더블북,2025-06-12,시/에세이
190,S000213690082,너에게 들려주는 단단한 말,16200,김종원,퍼스트펭귄,2024-07-10,청소년
191,S000001280109,자기 앞의 생,14400,에밀 아자르,문학동네,2013-01-24,소설
192,S000215014990,양심,16200,최재천 외,더클래스,2025-01-14,시/에세이
193,S000216274006,주술회전 29: 인외마경 신주쿠 결전 사활,5400,Gege Akutami,서울미디어코믹스(서울문화사),2025-04-01,만화
194,S000216719134,미치도록 보고 싶었던 돈의 얼굴,18000,EBS 돈의 얼굴 제작진 외,영진닷컴,2025-07-05,경제/경영
195,S000001461135,용의자 X의 헌신,16920,히가시노 게이고,재인,2017-08-30,소설
196,S000001914848,당신은 결국 무엇이든 해내는 사람(특별 리커버 에디션),15300,김상현,필름(Feelm),2022-04-20,시/에세이
197,S000000625441,정의란 무엇인가,16200,마이클 샌델,와이즈베리,2014-11-20,인문
198,S000213260244,당신에게 분명 좋은 일만 생길 거예요,15750,이슬비,다담북스,2024-05-13,시/에세이
199,S000215979428,결핍은 우리를 어떻게 변화시키는가,22320,센딜 멀레이너선 외,빌리버튼,2025-03-27,경제/경영
